date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2023-11-06,15417.330179293756,2,2,0.5,0.49999999999999994,5.551115123125783e-17,1.0,0.018923856037632858,-0.017066018435926478,-0.017213321248938002
2023-11-07,15569.188405876492,2,2,0.5,0.49999999999999994,5.551115123125783e-17,1.0,0.0035550385451476665,0.009849839422047868,0.009801645960560686
2023-11-08,14754.523098406193,2,2,0.5,0.49999999999999994,5.551115123125783e-17,1.0,0.003561167481039124,-0.052325483270714956,-0.05374417246413762
2023-11-09,15604.189902713006,2,2,0.5,0.49999999999999994,5.551115123125783e-17,1.0,0.08385664104592226,0.0575868700492661,0.05598977518313862
2023-11-10,15786.430728242929,2,2,0.5,0.49999999999999994,5.551115123125783e-17,1.0,0.00888006234550826,0.011678967422604769,0.011611294671513539
2023-11-11,15950.745083561362,2,2,0.5,0.49999999999999994,5.551115123125783e-17,1.0,0.013105483747479925,0.010408581784384197,0.01035478547055356
2023-11-12,15908.619320489193,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.03835742932454558,-0.0026409903017998726,-0.002644483869027385
2023-11-13,15445.178203166319,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.018142931422168357,-0.029131448052565734,-0.029564193750221266
2023-11-14,15520.183739570795,3,2,0.5,0.5,-5.551115123125783e-17,1.0,1.734723475976807e-18,0.004856242862196325,0.004844489351403909
2023-11-15,15746.694651362472,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.0020622047536535335,0.014594602460417772,0.0144891262668143
2023-11-16,15779.983182291886,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.006387367416349401,0.0021140011708129514,0.002111769814511036
2023-11-17,15612.716685634077,3,2,0.5,0.5,-5.551115123125783e-17,1.0,1.734723475976807e-18,-0.010599916028143364,-0.010656495317037957
2023-11-18,15359.898754721988,3,2,0.5,0.5,-5.551115123125783e-17,1.0,1.734723475976807e-18,-0.01619307747669041,-0.016325618130803608
2023-11-19,15456.208218447582,2,1,0.5,0.5,2.7755575615628914e-17,1.0,0.0057860906380801,0.006270188707851121,0.006250612861520701
2023-11-20,15473.772538797557,2,1,0.5,0.5,2.7755575615628914e-17,1.0,-0.0005452881880007622,0.0011363925810090603,0.0011357473757180499
2023-11-21,15742.484532107394,2,1,0.5,0.5,2.7755575615628914e-17,1.0,-0.0002201941373422417,0.01736564193612722,0.01721658237838761
2023-11-22,15856.03067871332,2,1,0.5,0.5,2.7755575615628914e-17,1.0,0.0033061236888888255,0.007212720862094235,0.00718683359486606
2023-11-23,15871.921561460023,2,1,0.5,0.5,2.7755575615628914e-17,1.0,0.0022458327347642526,0.0010021980323258184,0.001001696167162017
2023-11-24,15656.785183031989,2,1,0.5,0.5,2.7755575615628914e-17,1.0,0.0022458327347642526,-0.013554526312077209,-0.0136472275377491
2023-11-25,15579.142016737444,2,1,0.5,0.5,2.7755575615628914e-17,1.0,0.0022458327347642526,-0.0049590746367709215,-0.00497141165108074
2023-11-26,15749.054910859015,1,2,0.5,0.5,0.0,1.0,0.015796968661380605,0.0109064346379939,0.010847388414312611
2023-11-27,15682.77731804442,1,2,0.5,0.5,0.0,1.0,0.005244000000000001,-0.004208353656122932,-0.0042172336987002885
2023-11-28,15271.452901486491,1,2,0.5,0.5,0.0,1.0,0.007500000000000001,-0.026227778933305634,-0.02657786196338719
