rank,symbol,name,price,market_cap,circulating_supply,total_supply,max_supply,effective_max_supply,circulating_pct,potential_dilution_pct,locked_tokens,volume_24h,market_cap_dominance,timestamp
83,XTZ,Tezos,0.7202040899739465,766674104.9825002,1064523397.819408,1084586211.123154,,1084586211.123154,98.15018731586403,1.884675653427905,20062813.303745866,135779879.6501529,0.0221,2025-11-08T01:49:16.629602
84,LDO,Lido DAO,0.8344711373203428,747493212.0602615,895768803.2933228,1000000000.0,,1000000000.0,89.57688032933227,11.635948508528971,104231196.7066772,104408221.88073486,0.0215,2025-11-08T01:49:16.629603
85,GRT,The Graph,0.06930824707626956,732661092.834876,10571052129.31769,11396075069.450815,,11396075069.450815,92.76046415011126,7.804548970532572,825022940.1331253,114677484.73329854,0.0211,2025-11-08T01:49:16.629605
86,NEXO,Nexo,1.102679239336417,712491602.882604,646145839.5746847,1000000000.0,1000000000.0,1000000000.0,64.61458395746847,54.76382246123168,353854160.42531526,11966082.81660842,0.0205,2025-11-08T01:49:16.629607
87,CRV,Curve DAO Token,0.4859301321127373,685275450.1583908,1410234527.2949748,2320788647.040964,3030303030.299,3030303030.299,46.53773940079607,114.87936734264625,1620068503.004025,175133906.41735443,0.0197,2025-11-08T01:49:16.629609
88,SPX,SPX6900,0.7102255086516054,661215040.9460957,930993090.07,930993090.07,1000000000.0,1000000000.0,93.099309007,7.412182825633154,69006909.92999995,45522990.7829238,0.019,2025-11-08T01:49:16.629611
89,2Z,DoubleZero,0.18288524103623002,634871026.224887,3471417500.0,9999931457.8,10000000000.0,10000000000.0,34.714175000000004,188.0667623528429,6528582500.0,32061005.72503638,0.0183,2025-11-08T01:49:16.629612
90,MORPHO,Morpho,1.7751335960041583,630964431.0775199,355446166.13522863,999999999.8010328,1000000000.0,1000000000.0,35.54461661352286,181.33655537011825,644553833.8647714,45759596.03870223,0.0182,2025-11-08T01:49:16.629613
91,FLOKI,FLOKI,6.586675332891529e-05,628370352.4760478,9540023163707.314,9655782883823.256,,9655782883823.256,98.80113584254386,1.2134113107431537,115759720115.9414,117945254.34446266,0.0181,2025-11-08T01:49:16.629615
92,PYTH,Pyth Network,0.10918437989146161,627808326.4163187,5749982983.283987,9999982983.283987,10000000000.0,10000000000.0,57.499829832839865,73.9135581630661,4250017016.716013,65229137.49910828,0.0181,2025-11-08T01:49:16.629616
93,STRK,Starknet,0.13749729383332332,626990501.7220058,4560020668.348971,10000000000.0,10000000000.0,10000000000.0,45.600206683489716,119.29725164207777,5439979331.651029,344199430.0986119,0.018,2025-11-08T01:49:16.629617
94,KAIA,Kaia,0.10060859575950717,620015791.5143255,6162652274.7261,6162652274.7261,,6162652274.7261,100.0,0.0,0.0,80097676.12471677,0.0179,2025-11-08T01:49:16.629619
95,XPL,Plasma,0.33874310780630246,609737594.0513444,1800000000.0,10000000000.0,,10000000000.0,18.0,455.55555555555554,8200000000.0,637231816.8405465,0.0176,2025-11-08T01:49:16.629620
96,IOTA,IOTA,0.14484401405996444,597354291.9631517,4124121358.0,4600000000.0,,4600000000.0,89.65481213043478,11.538909762606457,475878642.0,33331658.13897086,0.0172,2025-11-08T01:49:16.629622
97,DEXE,DeXe,6.880892083527088,576162212.1701561,83733650.40115848,96504599.33609451,,96504599.33609451,86.76648675524892,15.251871707195203,12770948.934936032,10788032.11430472,0.0166,2025-11-08T01:49:16.629624
98,CFX,Conflux,0.10948340170210731,564076734.8779492,5152166685.62,5152166684.03,,5152166684.03,100.0000000308608,-3.086080574655464e-08,-1.5900001525878906,75272655.66076247,0.0162,2025-11-08T01:49:16.629625
99,TWT,Trust Wallet Token,1.2944624572815238,556438299.130654,429860515.46,999860531.46,999860531.46,999860531.46,42.992047584108164,132.60115677059446,570000016.0,44081733.58472437,0.016,2025-11-08T01:49:16.629626
100,ETHFI,ether.fi,0.9795521678188416,552561264.7270559,564095801.0,1000000000.0,1000000000.0,1000000000.0,56.4095801,77.27485264510948,435904199.0,99113520.28238812,0.0159,2025-11-08T01:49:16.629628
101,SAND,The Sandbox,0.2081362306713709,543920162.1235939,2613289192.2233224,3000000000.0,,3000000000.0,87.10963974077741,14.797857387060692,386710807.7766776,92499379.86324205,0.0157,2025-11-08T01:49:16.629629
102,ENS,Ethereum Name Service,14.287343927753783,537584171.0496584,37626599.72126645,100000000.0,,100000000.0,37.626599721266444,165.76943104290203,62373400.27873355,87937820.4090821,0.0155,2025-11-08T01:49:16.629631
103,SYRUP,Maple Finance,0.4600591016712991,523850249.54322773,1138658593.298532,1216127147.9985635,,1216127147.9985635,93.62989677292171,6.803492737504061,77468554.70003152,45839841.26386181,0.0151,2025-11-08T01:49:16.629632
