symbol,type,base,quote,last_price,base_volume_24h,notional_volume_24h,bid,ask,high_24h,low_24h,change_24h,percentage_24h,active
PRFI/USDC,spot,PRFI,USDC,0.10719,0,296.5416849,,,,,,,True
ADHD/USDC,spot,ADHD,USDC,0.00072527,0,239.88844515,,,,,,,True
FARM/USDC,spot,FARM,USDC,0.20035,0,227.6504855,,,,,,,True
GOD/USDC,spot,GOD,USDC,0.031348,0,171.08033216,,,,,,,True
FUND/USDC,spot,FUND,USDC,0.47644,0,168.844515,,,,,,,True
FARMED/USDC,spot,FARMED,USDC,0.000364,0,146.8529208,,,,,,,True
NIGGO/USDC,spot,NIGGO,USDC,0.273015,0,143.8726704,,,,,,,True
AUTIST/USDC,spot,AUTIST,USDC,0.116745,0,113.2460888,,,,,,,True
BOZO/USDC,spot,BOZO,USDC,0.005313,0,109.49855708,,,,,,,True
APU/USDC,spot,APU,USDC,0.000165,0,94.30317662,,,,,,,True
XULIAN/USDC,spot,XULIAN,USDC,9.228e-05,0,93.70105884,,,,,,,True
LIQUID/USDC,spot,LIQUID,USDC,0.077418,0,91.53456629,,,,,,,True
TATE/USDC,spot,TATE,USDC,0.011641,0,89.121208,,,,,,,True
VORTX/USDC,spot,VORTX,USDC,0.000191,0,88.4872534,,,,,,,True
BEATS/USDC,spot,BEATS,USDC,6.4e-05,0,86.95499654,,,,,,,True
NASDAQ/USDC,spot,NASDAQ,USDC,0.065845,0,80.7132462,,,,,,,True
SLAY/USDC,spot,SLAY,USDC,0.027765,0,71.519428,,,,,,,True
RETARD/USDC,spot,RETARD,USDC,0.032684,0,66.82643296,,,,,,,True
PEPE/USDC,spot,PEPE,USDC,0.000716,0,62.09776992,,,,,,,True
RUG/USDC,spot,RUG,USDC,0.0024038,0,61.2897918,,,,,,,True
FUN/USDC,spot,FUN,USDC,0.0070305,0,54.75171429,,,,,,,True
STLOOP/USDC,spot,STLOOP,USDC,0.006483,0,50.55957788,,,,,,,True
