date,portfolio_value,returns,cummax,drawdown,strategy
2025-05-19,26991.60320747788,-0.004946123084993426,111318.09666228008,-0.7575272663045457,Long Low Volume / Short High Volume
2025-05-20,26980.159568696286,-0.00042397032490548714,111318.09666228008,-0.7576300675482313,Long Low Volume / Short High Volume
2025-05-21,27092.476739064245,0.00416295426578106,111318.09666228008,-0.756621092604034,Long Low Volume / Short High Volume
2025-05-22,27110.400092779157,0.0006615620228278551,111318.09666228008,-0.7564600823617437,Long Low Volume / Short High Volume
2025-05-23,27037.698649072743,-0.002681680958510735,111318.09666228008,-0.7571131787215114,Long Low Volume / Short High Volume
2025-05-24,26967.90105609918,-0.0025814916380080266,111318.09666228008,-0.7577401890196243,Long Low Volume / Short High Volume
2025-05-25,26789.378953085696,-0.0066197996886045996,111318.09666228008,-0.7593439004409134,Long Low Volume / Short High Volume
2025-05-26,26516.92878044582,-0.01017008169980338,111318.09666228008,-0.7617913926349854,Long Low Volume / Short High Volume
2025-05-27,26716.270237922585,0.007517516795676693,111318.09666228008,-0.7600006554282441,Long Low Volume / Short High Volume
2025-05-28,26501.935980832994,-0.008022611509047928,111318.09666228008,-0.7619260769321695,Long Low Volume / Short High Volume
2025-05-29,26419.360276688523,-0.003115836677146544,111318.09666228008,-0.7626678763935364,Long Low Volume / Short High Volume
2025-05-30,25832.91173056532,-0.022197681547976966,111318.09666228008,-0.7679360992944577,Long Low Volume / Short High Volume
2025-05-31,26059.739299637607,0.008780565328371681,111318.09666228008,-0.765898447053956,Long Low Volume / Short High Volume
2025-06-01,26004.855979471817,-0.002106057913117909,111318.09666228008,-0.7663914784820112,Long Low Volume / Short High Volume
2025-06-02,26031.579890300058,0.0010276507914266375,111318.09666228008,-0.7661514104999892,Long Low Volume / Short High Volume
2025-06-03,26050.089186829937,0.0007110323924970352,111318.09666228008,-0.7659851365779149,Long Low Volume / Short High Volume
2025-06-04,25850.1980134368,-0.0076733393102621505,111318.09666228008,-0.7677808120285973,Long Low Volume / Short High Volume
2025-06-05,25785.050488058816,-0.002520194442770629,111318.09666228008,-0.7683660495356275,Long Low Volume / Short High Volume
2025-06-06,25505.745193381157,-0.01083206312925411,111318.09666228008,-0.7708751231099361,Long Low Volume / Short High Volume
2025-06-07,25590.02151378719,0.003304209297437133,111318.09666228008,-0.7701180465614418,Long Low Volume / Short High Volume
2025-06-08,25492.895498313508,-0.0037954643930780962,111318.09666228008,-0.7709905553303291,Long Low Volume / Short High Volume
2025-06-09,25404.8011198397,-0.0034556442786044528,111318.09666228008,-0.7717819305075482,Long Low Volume / Short High Volume
2025-06-10,25449.15273652305,0.0017457966497802513,111318.09666228008,-0.7713835081664089,Long Low Volume / Short High Volume
2025-06-11,25371.304101542057,-0.003058987298593663,111318.09666228008,-0.7720828431111769,Long Low Volume / Short High Volume
2025-06-12,25154.358383580082,-0.008550830382770491,111318.09666228008,-0.7740317240610566,Long Low Volume / Short High Volume
2025-06-13,25275.927130548684,0.004832909872507729,111318.09666228008,-0.7729396397493977,Long Low Volume / Short High Volume
2025-06-14,25562.971754772356,0.011356442940395617,111318.09666228008,-0.7703610417241861,Long Low Volume / Short High Volume
2025-06-15,25585.657482189567,0.0008874448415010505,111318.09666228008,-0.7701572498152566,Long Low Volume / Short High Volume
2025-06-16,25679.797069402903,0.0036793890201518575,111318.09666228008,-0.7693115689238652,Long Low Volume / Short High Volume
2025-06-17,25647.3283334203,-0.0012643688692263177,111318.09666228008,-0.7696032441946086,Long Low Volume / Short High Volume
2025-06-18,25728.927875347887,0.0031816000819568924,111318.09666228008,-0.7688702138574556,Long Low Volume / Short High Volume
