date,equity,cash,mtm_value,num_positions,long_exposure,short_exposure,daily_return
2025-09-17,78658.71148278772,78658.71148278772,0.0,1,0.0,10000.0,-0.11294215424764298
2025-09-18,78752.07247863835,78658.71148278772,93.36099585062207,1,0.0,10000.0,0.0011869123469059328
2025-09-19,89313.35878569228,89313.35878569228,0.0,0,0.0,0.0,0.13410804280634903
2025-09-20,79298.35878569228,79298.35878569228,0.0,1,10000.0,0.0,-0.1121332814728313
2025-09-21,88404.79869791637,88404.79869791637,0.0,0,0.0,0.0,0.11483768455832344
2025-09-22,88404.79869791637,88404.79869791637,0.0,0,0.0,0.0,0.0
2025-09-23,88404.79869791637,88404.79869791637,0.0,0,0.0,0.0,0.0
2025-09-24,88404.79869791637,88404.79869791637,0.0,0,0.0,0.0,0.0
2025-09-25,78389.79869791637,78389.79869791637,0.0,1,0.0,10000.0,-0.11328570561222318
2025-09-26,77487.27162210409,78389.79869791637,-902.527075812276,1,0.0,10000.0,-0.0115133230446256
2025-09-27,77947.56043076835,78389.79869791637,-442.2382671480163,1,0.0,10000.0,0.005940186033507988
2025-09-28,77703.87812029904,78389.79869791637,-685.9205776173294,1,0.0,10000.0,-0.003126233959377722
2025-09-29,87466.29689286221,87466.29689286221,0.0,0,0.0,0.0,0.12563618456017434
2025-09-30,87466.29689286221,87466.29689286221,0.0,0,0.0,0.0,0.0
2025-10-01,87466.29689286221,87466.29689286221,0.0,0,0.0,0.0,0.0
2025-10-02,87466.29689286221,87466.29689286221,0.0,0,0.0,0.0,0.0
2025-10-03,87466.29689286221,87466.29689286221,0.0,0,0.0,0.0,0.0
2025-10-04,77451.29689286221,77451.29689286221,0.0,1,0.0,10000.0,-0.11450124626022995
2025-10-05,77778.5346214474,77451.29689286221,327.237728585178,1,0.0,10000.0,0.004225077457874482
2025-10-06,77595.66647900273,77451.29689286221,144.3695861405203,1,0.0,10000.0,-0.0023511389528576565
2025-10-07,77999.9013201962,77451.29689286221,548.6044273339752,1,0.0,10000.0,0.005209502792309362
2025-10-08,67830.90709497963,67436.29689286221,394.61020211742135,2,10000.0,10000.0,-0.13037188577293168
2025-10-09,67838.47042071387,67436.29689286221,402.17352785166145,2,10000.0,10000.0,0.0001115026476596892
2025-10-10,76411.08351657637,72936.58881012787,3474.4947064485086,1,0.0,10000.0,0.12636801865811131
2025-10-11,76471.95454641276,76471.95454641276,0.0,1,0.0,10000.0,0.0007966256599827304
2025-10-12,64969.0188895763,66456.95454641276,-1487.935656836461,2,10000.0,10000.0,-0.15042031716156856
2025-10-13,74425.5109497949,74040.89556517951,384.6153846153855,1,10000.0,0.0,0.14555386893391753
2025-10-14,73848.58787287182,74040.89556517951,-192.30769230769275,1,10000.0,0.0,-0.007751684463573993
2025-10-15,73271.66479594875,74040.89556517951,-769.2307692307699,1,10000.0,0.0,-0.007812242502405531
2025-10-16,72694.74171902567,74040.89556517951,-1346.1538461538469,1,10000.0,0.0,-0.007873754179459791
2025-10-17,82280.12633441028,82280.12633441028,0.0,0,0.0,0.0,0.13185801873309244
2025-10-18,62250.12633441028,62250.12633441028,0.0,2,10000.0,10000.0,-0.24343667046149486
2025-10-19,62230.38106869396,62250.12633441028,-19.745265716315515,2,10000.0,10000.0,-0.0003171923798233056
2025-10-20,81481.04737981014,81481.04737981014,0.0,0,0.0,0.0,0.30934514590013573
2025-10-21,61451.047379810145,61451.047379810145,0.0,2,10000.0,10000.0,-0.24582403692767396
2025-10-22,71217.98817888314,70824.50106897812,393.48710990502076,1,0.0,10000.0,0.15893855703884952
2025-10-23,80862.34367413416,80862.34367413416,0.0,0,0.0,0.0,0.13542021814806993
2025-10-24,80862.34367413416,80862.34367413416,0.0,0,0.0,0.0,0.0
2025-10-24,80862.34367413416,80862.34367413416,0.0,0,0.0,0.0,0.0
