symbol,first_date,last_date,days_span,actual_days,expected_days,missing_days,coverage_pct,is_current,days_since_last,market_cap,rank,num_gaps,largest_gap_days,gaps
BAL,2020-10-06,2020-10-27,21,22,22,0,100.0,False,1833,,999.0,1,1832,"[{'start': Timestamp('2020-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1832}]"
BAND,2020-08-11,2020-10-27,77,78,78,0,100.0,False,1833,,999.0,1,1832,"[{'start': Timestamp('2020-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1832}]"
BLUR,2023-02-14,2023-10-28,256,257,257,0,100.0,False,737,,999.0,1,736,"[{'start': Timestamp('2023-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 736}]"
BTRST,2021-09-15,2021-10-28,43,44,44,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
CELO,2020-09-01,2020-10-27,56,57,57,0,100.0,False,1833,,999.0,1,1832,"[{'start': Timestamp('2020-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1832}]"
COMP,2020-06-23,2020-10-27,126,127,127,0,100.0,False,1833,,999.0,1,1832,"[{'start': Timestamp('2020-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1832}]"
COTI,2021-08-26,2021-10-28,63,64,64,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
CTSI,2021-05-06,2021-10-28,175,176,176,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
CVX,2022-09-08,2022-10-28,50,51,51,0,100.0,False,1102,,999.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
DAI,2020-04-30,2020-10-27,180,181,181,0,100.0,False,1833,,999.0,1,1832,"[{'start': Timestamp('2020-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1832}]"
DRIFT,2024-05-17,2024-10-27,163,164,164,0,100.0,False,372,,999.0,1,371,"[{'start': Timestamp('2024-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 371}]"
EIGEN,2024-10-01,2024-10-27,26,27,27,0,100.0,False,372,,999.0,1,371,"[{'start': Timestamp('2024-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 371}]"
FLR,2023-04-14,2023-10-28,197,198,198,0,100.0,False,737,,999.0,1,736,"[{'start': Timestamp('2023-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 736}]"
GMT,2022-04-28,2022-10-28,183,184,184,0,100.0,False,1102,,999.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
ICP,2021-05-10,2021-10-28,171,172,172,0,100.0,False,1467,,999.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
