protocol,slug,symbol,category,chains,tvl,change_1h,change_1d,change_7d,mcap,timestamp
Ethena USDtb,ethena-usdtb,ENA,RWA,Ethereum,1831367063.015748,0.018753220470671295,0.060821006830195756,0.059150006029028646,,2025-11-03T01:15:59.406062
HashKey Exchange,hashkey-exchange,-,CEX,"Bitcoin,Ethereum,Solana,Tron,Doge,Avalanche,TON,Aptos,Litecoin,Optimism,Polkadot,Polygon,Arbitrum",1810613375.3778667,0.28477768685564797,0.13331952491807897,-4.734068788831351,,2025-11-03T01:15:59.406063
Uniswap V2,uniswap-v2,UNI,Dexs,"Ethereum,Base,Polygon,Arbitrum,Binance,Optimism,Unichain,Avalanche,Zora,Celo",1749861868.4296024,0.1474210256927364,-0.8043047341130887,-4.986011164550945,,2025-11-03T01:15:59.406065
Jupiter Staked SOL,jupiter-staked-sol,JUP,Liquid Staking,Solana,1728548302.5377932,0.5031003258630307,0.4697882258317492,-8.259610205558559,,2025-11-03T01:15:59.406066
SwissBorg,swissborg,BORG,CEX,"Ethereum,Bitcoin,Solana,Ripple,Binance,Cardano,Hedera,Avalanche,Doge,Polkadot,Near,Polygon,Tron,Cosmos,Injective,Sei,Optimism,TON,Arbitrum,Algorand,Celestia,Stellar,Moonbeam,Sonic,Osmosis,Berachain,xDai,Chiliz",1688037071.4809065,0.6748788763855345,0.08719109477462439,-7.4611614091246565,399225686.7803503,2025-11-03T01:15:59.406068
Binance Staked SOL,binance-staked-sol,-,Liquid Staking,Solana,1646985697.368506,0.5030958215291434,0.4287489627321577,-6.293909245148072,,2025-11-03T01:15:59.406069
Euler V2,euler-v2,EUL,Lending,"Ethereum,Plasma,Avalanche,Arbitrum,Linea,Binance,TAC,Sonic,Swellchain,Base,Unichain,Berachain,BOB,Mantle",1628155451.165128,0.5310219216199386,-0.012149343541480562,-3.365296141146331,,2025-11-03T01:15:59.406071
Kinetiq kHYPE,kinetiq-khype,-,Liquid Staking,Hyperliquid L1,1538366177.5616446,1.0898462174259862,-2.934690615424657,-17.52615295904829,,2025-11-03T01:15:59.406072
Linea Bridge,linea-bridge,-,Canonical Bridge,Ethereum,1530586747.0634413,1.77393504644823,-3.8955798812982323,-8.700888398659558,,2025-11-03T01:15:59.406073
Steakhouse Financial,steakhouse-financial,-,Risk Curators,"Ethereum,Base,Arbitrum,Corn,Unichain,Katana",1526055200.4099042,-0.36171815977192523,-0.05556165419122294,-9.730587001434714,,2025-11-03T01:15:59.406075
