dex,defi_llama_id,volume_24h,volume_7d,change_1d,chains,timestamp
THENA V1,2417,353154,2462029,30.05,BSC,2025-11-03T01:15:59.015478
Maximus,2452,0,0,0.0,Fantom,2025-11-03T01:15:59.015479
Omax Swap,2464,96,1248,0.0,Omax,2025-11-03T01:15:59.015481
Zyberswap AMM,2467,164340,830698,18.82,Arbitrum,2025-11-03T01:15:59.015482
Obric,2474,29439380,195309312,0.0,Solana,2025-11-03T01:15:59.015483
HiveSwap V2,2485,1,22,0.0,MAP Protocol,2025-11-03T01:15:59.015484
DPEX,2488,0,0,0.0,Polygon,2025-11-03T01:15:59.015485
SolidLizard Dex,2528,748,6991,78.1,Arbitrum,2025-11-03T01:15:59.015487
PancakeSwap StableSwap,2529,1668507,21654895,866.93,BSC,2025-11-03T01:15:59.015488
ZyberSwap Stableswap,2530,0,30,-100.0,Arbitrum,2025-11-03T01:15:59.015489
OnePunchSwap,2534,0,0,0.0,BSC,2025-11-03T01:15:59.015490
Megaton Finance,2540,0,0,0.0,TON,2025-11-03T01:15:59.015491
Clober V1,2541,0,0,0.0,"Ethereum,Polygon,Arbitrum,Polygon zkEVM",2025-11-03T01:15:59.015493
VeniceSwap,2550,0,0,0.0,Findora,2025-11-03T01:15:59.015494
Ashswap,2551,264003,981603,28.09,MultiversX,2025-11-03T01:15:59.015495
Subzero ZSwap,2556,0,2,0.0,Avalanche,2025-11-03T01:15:59.015496
OraiDEX,2564,2295,21429,45.81,Oraichain,2025-11-03T01:15:59.015497
Equilibre,2586,800,5643,-19.68,Kava,2025-11-03T01:15:59.015498
Bisq,2588,0,0,0.0,Bitcoin,2025-11-03T01:15:59.015499
Dexalot DEX,2589,25292281,208654156,46.75,"Dexalot,Avalanche,Arbitrum,Base,BSC",2025-11-03T01:15:59.015500
PancakeSwap AMM V1,2590,0,0,0.0,BSC,2025-11-03T01:15:59.015501
BeamSwap Stable AMM,2596,291,1473,4057.14,Moonbeam,2025-11-03T01:15:59.015503
