symbol,name,cmc_rank,market_cap,price,volume_24h,percent_change_24h,percent_change_7d,market_cap_dominance,timestamp,trading_symbol
WIF,dogwifhat,113,485515859.262828,0.48607977602270774,224463289.38328925,12.97945132,-5.65113909,0.014,2025-11-08T01:49:13.016700,WIF/USDC:USDC
H,Humanity Protocol,115,484885986.8949516,0.22274752211185236,270110059.48730654,99.5592596,-26.52335167,0.014,2025-11-08T01:49:13.016701,H/USDC:USDC
GALA,Gala,114,484905160.71747464,0.010427052252949386,111179441.71337633,16.76827214,3.36602321,0.014,2025-11-08T01:49:13.016702,GALA/USDC:USDC
S,Sonic,116,479601117.34551656,0.16652816574497104,175359889.10653248,33.87477253,20.71368963,0.0138,2025-11-08T01:49:13.016703,S/USDC:USDC
MANA,Decentraland,117,473632638.6374323,0.2404557358622456,55202872.40434644,12.99681582,5.45362142,0.0136,2025-11-08T01:49:13.016706,MANA/USDC:USDC
BTT,BitTorrent [New],118,472327301.66641575,4.790040709827598e-07,17964452.77917894,10.20263451,0.69879612,0.0136,2025-11-08T01:49:13.016707,BTT/USDC:USDC
AB,AB,119,471927838.1670134,0.005500068952243123,14614226.31581729,3.45149008,-12.32843453,0.0136,2025-11-08T01:49:13.016708,AB/USDC:USDC
PENDLE,Pendle,120,466125712.37297326,2.7680253053412076,86642723.96102598,7.43994108,-10.05688145,0.0134,2025-11-08T01:49:13.016711,PENDLE/USDC:USDC
HNT,Helium,121,461420763.8826585,2.4764770393718627,14784305.22097256,3.39147213,-1.32242426,0.0133,2025-11-08T01:49:13.016712,HNT/USDC:USDC
FLOW,Flow,122,457450022.0753625,0.282295331840554,23427154.50967759,17.06025028,8.42904736,0.0132,2025-11-08T01:49:13.016713,FLOW/USDC:USDC
SUN,Sun [New],123,439055237.841175,0.02289562854788095,39280188.76485662,3.87326412,3.82979647,0.0126,2025-11-08T01:49:13.016714,SUN/USDC:USDC
MERL,Merlin Chain,124,430423749.4273,0.40915679865210575,432400402.7558601,30.64159619,25.59404705,0.0124,2025-11-08T01:49:13.016715,MERL/USDC:USDC
USDD,USDD,125,413990383.74395645,0.9994451592401936,4666685.43491046,-0.01353276,-0.03644864,0.0119,2025-11-08T01:49:13.016716,USDD/USDC:USDC
NEO,Neo,126,407599011.6047589,5.778363574025758,77286742.56191331,18.17809315,16.09069207,0.0117,2025-11-08T01:49:13.016717,NEO/USDC:USDC
NFT,AINFT,127,398389973.3635005,3.983939573030735e-07,87601014.31794447,1.05975359,-1.3632002,0.0115,2025-11-08T01:49:13.016718,NFT/USDC:USDC
RAY,Raydium,128,386929183.9485005,1.4423951852690546,56063796.2788941,11.54406807,-11.58693522,0.0111,2025-11-08T01:49:13.016719,RAY/USDC:USDC
ATH,Aethir,129,366255144.8268816,0.025729683650373127,30108338.47159159,8.63092104,-5.73555627,0.0105,2025-11-08T01:49:13.016720,ATH/USDC:USDC
JST,JUST,130,359193265.3582436,0.0362821480159842,37166807.31331915,2.19342451,2.96712811,0.0103,2025-11-08T01:49:13.016722,JST/USDC:USDC
EIGEN,EigenLayer,131,356158875.59280974,0.8162948378433996,119106809.9614734,11.90245916,-11.34910089,0.0103,2025-11-08T01:49:13.016723,EIGEN/USDC:USDC
ZEN,Horizen,132,349709710.98866117,19.90677906125141,386568014.3315186,4.2684596,27.73595695,0.0101,2025-11-08T01:49:13.016724,ZEN/USDC:USDC
CHZ,Chiliz,133,348660507.26030767,0.03456167831524125,72019186.87583622,13.55507685,11.8549028,0.01,2025-11-08T01:49:13.016725,CHZ/USDC:USDC
ZRO,LayerZero,134,347568772.413637,1.69733857385205,162206454.48308238,10.87098676,8.90333566,0.01,2025-11-08T01:49:13.016727,ZRO/USDC:USDC
TRAC,OriginTrail,135,342825092.79623026,0.6856525173567989,6913496.59629636,10.87426568,8.61075463,0.0099,2025-11-08T01:49:13.016728,TRAC/USDC:USDC
COMP,Compound,136,333777510.61914474,34.625837364715565,32234254.00041866,8.03067534,-0.40975292,0.0096,2025-11-08T01:49:13.016729,COMP/USDC:USDC
BAT,Basic Attention Token,137,333751004.9637728,0.22313855512913322,87093158.09019108,3.45970725,34.64419249,0.0096,2025-11-08T01:49:13.016731,BAT/USDC:USDC
JTO,Jito,138,328418186.7359838,0.8244113361385329,46350147.54250702,9.82158494,-9.35404361,0.0095,2025-11-08T01:49:13.016733,JTO/USDC:USDC
GNO,Gnosis,139,321821279.9788168,121.93784815494031,4988528.68236723,5.00207027,-6.3829235,0.0093,2025-11-08T01:49:13.016734,GNO/USDC:USDC
W,Wormhole,140,321531882.36273175,0.0656417974937324,64490143.18982715,15.310781,1.00215571,0.0093,2025-11-08T01:49:13.016735,W/USDC:USDC
APE,ApeCoin,141,312388328.8868864,0.41505042195641684,45973442.43932053,12.23845643,4.2771596,0.009,2025-11-08T01:49:13.016736,APE/USDC:USDC
WAL,Walrus,142,307588365.5566762,0.2034763167511692,88200886.28431642,5.75039712,-8.0217365,0.0089,2025-11-08T01:49:13.016737,WAL/USDC:USDC
SNX,Synthetix,143,302652366.1954675,0.8811706980686211,49416993.8238288,9.8833902,-12.34443498,0.0087,2025-11-08T01:49:13.016738,SNX/USDC:USDC
DEEP,DeepBook Protocol,144,298043048.38754475,0.06823099284310194,31506703.41403481,14.52004049,-9.59972569,0.0086,2025-11-08T01:49:13.016739,DEEP/USDC:USDC
ZBCN,Zebec Network,145,297010051.37442213,0.0031677053217499056,15525971.56352646,3.92503439,-16.48848787,0.0086,2025-11-08T01:49:13.016740,ZBCN/USDC:USDC
FARTCOIN,Fartcoin,146,295510863.691656,0.29551137906350106,111817512.21052279,12.72459008,-8.56668374,0.0085,2025-11-08T01:49:13.016741,FARTCOIN/USDC:USDC
XEC,eCash,147,294309355.73139197,1.4756441131504058e-05,12015906.26187881,11.04696722,-1.302539,0.0085,2025-11-08T01:49:13.016742,XEC/USDC:USDC
FF,Falcon Finance,148,293358204.1326532,0.12536675390284324,65695996.59548154,12.32188223,-3.48315533,0.0084,2025-11-08T01:49:13.016743,FF/USDC:USDC
1INCH,1inch,149,291841968.0115721,0.2085165781574759,90955459.37763748,11.16962984,28.22662616,0.0084,2025-11-08T01:49:13.016744,1INCH/USDC:USDC
EGLD,MultiversX,150,290605245.7220476,10.103627147726261,56761380.17261316,19.20946794,10.65151648,0.0084,2025-11-08T01:49:13.016745,EGLD/USDC:USDC
RSR,Reserve Rights,151,290455486.0840951,0.004756481242181416,29349725.1390231,12.33986643,-15.55816798,0.0084,2025-11-08T01:49:13.016746,RSR/USDC:USDC
RUNE,THORChain,152,287023036.99351466,0.817289352614119,54559051.84521104,10.18401597,-3.48436444,0.0083,2025-11-08T01:49:13.016748,RUNE/USDC:USDC
EURC,EURC,153,283251391.92268914,1.1570682253270517,89125195.13557117,0.26192953,0.25678012,0.0082,2025-11-08T01:49:13.016749,EURC/USDC:USDC
