date,symbol,open,high,low,close,volume
2025-08-27,XLM/USDC,0.394854,0.394942,0.377589,0.379008,64665705.73215222
2025-08-27,XRP/USD,3.0128,3.0458,2.962,2.9687,86729020.876989
2025-08-27,XRP/USDC,3.0128,3.0458,2.962,2.9687,86729020.876989
2025-08-27,ZEC/USD,42.89,43.85,41.64,42.38,14349.26140178
2025-08-27,ZEC/USDC,42.89,43.85,41.64,42.38,14349.26140178
2025-08-27,ZORA/USD,0.0994,0.09955,0.08444,0.08565,154172257.0
2025-08-27,ZORA/USDC,0.0994,0.09955,0.08444,0.08565,154172257.0
2025-08-28,ADA/USD,0.8505,0.8796,0.8418,0.8577,39029816.69573239
2025-08-28,ADA/USDC,0.8505,0.8796,0.8418,0.8577,39029816.69573239
2025-08-28,AVAX/USD,24.42,25.08,24.13,24.93,993427.01092713
2025-08-28,AVAX/USDC,24.42,25.08,24.13,24.93,993427.01092713
2025-08-28,BONK/USD,2.104e-05,2.188e-05,2.088e-05,2.158e-05,475893176835.0
2025-08-28,BTC/USD,111253.22,113480.0,110858.78,112574.85,4637.29182209
2025-08-28,BTC/USDC,111253.22,113480.0,110858.78,112574.85,4637.29182209
2025-08-28,BTC/USDT,111257.52,113476.01,110882.0,112553.4,255.65560614
2025-08-28,CLANKER/USD,46.7,48.04,45.0,46.34,22864.6004
2025-08-28,CLANKER/USDC,46.7,48.04,45.0,46.34,22864.6004
2025-08-28,DIA/USD,0.76461,0.76942,0.71632,0.7347,1607810.2
2025-08-28,DIA/USDC,0.76461,0.76942,0.71632,0.7347,1607810.2
2025-08-28,DOGE/USD,0.21883,0.22596,0.21667,0.22438,230955009.1
2025-08-28,DOGE/USDC,0.21883,0.22596,0.21667,0.22438,230955009.1
2025-08-28,ENA/USD,0.6095,0.6826,0.6031,0.6768,21851140.8
2025-08-28,ENA/USDC,0.6095,0.6826,0.6031,0.6768,21851140.8
2025-08-28,ETH/USD,4506.95,4635.0,4428.0,4511.3,139168.54135212
2025-08-28,ETH/USDC,4506.95,4635.0,4428.0,4511.3,139168.54135212
2025-08-28,ETH/USDT,4505.56,4633.34,4429.8,4509.11,6317.16708178
2025-08-28,HBAR/USD,0.23761,0.24198,0.23535,0.23917,97370077.6
2025-08-28,HBAR/USDC,0.23761,0.24198,0.23535,0.23917,97370077.6
2025-08-28,LINK/USD,23.773,26.044,23.554,25.178,5112494.35
2025-08-28,LINK/USDC,23.773,26.044,23.554,25.178,5112494.35
2025-08-28,LTC/USD,112.18,114.63,111.32,113.66,93682.24204953
2025-08-28,LTC/USDC,112.18,114.63,111.32,113.66,93682.24204953
2025-08-28,PENGU/USD,0.03001,0.03103,0.02956,0.03045,581482007.0
2025-08-28,PENGU/USDC,0.03001,0.03103,0.02956,0.03045,581482007.0
