date,portfolio_value,return,n_positions,valid_positions,rolling_30d
2025-02-10,10939.375589434561,0.01747612051985257,3,3,0.9851309760077935
2025-02-11,11192.813421879913,0.023167486148855332,3,3,2.328868168781525
2025-02-12,10178.756032575306,-0.09059897195483571,3,3,-8.280066388547155
2025-02-13,10410.251872898778,0.02274303849926368,3,3,-4.801737149966495
2025-02-14,11173.896873996382,0.073355093653941,3,3,6.588628252424589
2025-02-15,11099.740990242795,-0.006636528383053189,3,3,5.241772209725403
2025-02-16,11151.56868851316,0.004669270960099212,3,3,10.058954975430897
2025-02-17,11174.397312040448,0.0020471221731166757,3,3,8.695024482154972
2025-02-18,11502.868418864187,0.02939497295928528,3,3,8.604620430614236
2025-02-19,12070.712823944588,0.049365461240012176,3,3,12.576052085581251
2025-02-20,12379.894998638623,0.025614243268277444,3,3,17.601224443078923
2025-02-21,12722.257746474153,0.027654737610713114,3,3,19.189478610387926
2025-02-22,13017.497931210342,0.023206587275596546,3,3,21.44762922635664
2025-02-23,13115.227442665084,0.007507549605245557,3,3,21.068050719079068
2025-02-24,12839.158216325584,-0.021049518778562717,3,3,19.300938197797652
2025-02-25,11810.947302340352,-0.08008398188269181,3,3,9.41966264208071
2025-02-26,12212.492636946054,0.033997724680909835,3,3,12.093090542961711
2025-02-27,12404.904354752005,0.015755319043047385,3,3,9.284748951600964
2025-02-28,12754.654191429003,0.02819448072108819,3,3,13.396713320602446
2025-03-01,13067.338193663149,0.024515286540991794,3,3,17.030439115341526
2025-03-02,13896.124257206906,0.06414902340234077,4,4,23.554196245577376
2025-03-03,14032.370190305264,0.009804599511097384,4,4,20.24396798886104
2025-03-04,13711.49459697287,-0.022866813587492256,4,4,15.557318459496791
2025-03-05,13036.76508433085,-0.049209041937046255,4,4,12.518683486334925
2025-03-06,13183.258001748241,0.011236907044790245,4,4,14.295405244043257
2025-03-07,13342.312439584679,0.012064880912999391,4,4,13.002062715886343
2025-03-08,13626.716720916342,0.021315966225455577,4,4,19.135666292342453
2025-03-09,13553.783975971457,-0.0053521876500841475,4,4,20.68914967061718
2025-03-10,13815.272254707314,0.01929264028402924,4,4,21.440272736698677
2025-03-11,13893.376963244853,0.00565350483852585,4,4,27.638497294576815
2025-03-12,14027.833451415447,0.009677739870320903,4,4,26.858659229623647
2025-03-13,14538.171424052092,0.03638038435544377,4,4,28.179949050282495
2025-03-14,14502.240857524563,-0.0024714639468404187,4,4,36.99269985108202
2025-03-15,13985.847277104458,-0.035607847469459976,4,4,31.157611254209662
2025-03-16,13837.44298592629,-0.010611033299435066,4,4,22.760998558872053
2025-03-17,14459.048705382844,0.044922007634558864,4,4,27.916852160633255
2025-03-18,14108.276235598996,-0.02425971977349117,4,4,25.02395308727422
2025-03-19,13932.915034392121,-0.012429668818391235,4,4,23.57627398812343
2025-03-20,14718.429236991811,0.05637830997036288,4,4,26.27460768923119
2025-03-21,14539.003099317584,-0.012190576506851417,4,4,20.11900391454483
2025-03-22,12945.328726421427,-0.1096137308734022,4,4,6.596206500376865
2025-03-23,13523.868149680271,0.04469097969509608,4,4,8.299830708815161
2025-03-24,13428.754156415633,-0.007033046478413615,4,4,5.275867333414145
2025-03-25,12255.4184676863,-0.08737487298244771,4,4,-4.212374925355182
2025-03-26,13792.180732029108,0.125394515772331,4,4,10.432028529734188
2025-03-27,13752.728509446075,-0.00286047749442659,4,4,18.15437896856071
2025-03-28,13913.279379599187,0.011674110344201113,4,4,15.922017534889838
2025-03-29,14022.903829309726,0.00787912372918198,4,4,15.134398003503296
2025-03-30,14437.754690935903,0.02958380565650622,4,4,15.273330497045102
2025-03-31,14871.020497703961,0.030009223459106574,4,4,15.822724188856577
2025-04-01,15568.763340426434,0.04691963425309008,4,4,14.09978527393151
2025-04-02,15584.213702181747,0.0030781744126997246,6,6,13.427142764091743
2025-04-03,15020.729557497783,-0.03615736767040599,6,6,12.09808735580037
2025-04-04,15474.569953467322,0.030214271166542617,6,6,20.04041866615926
2025-04-05,15056.390117800009,-0.027023680588526673,6,6,16.214359902827564
