date,portfolio_value,return,n_positions,n_long,n_short,rolling_return_30d
2021-08-30,1.3635710652915412,-0.014835139939348065,6,1,5,-16.232315848028346
2021-08-31,1.2767435629965223,-0.06367655086348924,6,1,5,-21.887018139629095
2021-09-01,1.2357898337108773,-0.0320767070793187,6,1,5,-13.940637032172024
2021-09-02,1.246856352744931,0.008955017052392218,7,2,5,-18.25061913590895
2021-09-03,1.227609692496078,-0.015436148844637877,7,2,5,-22.697163037823177
2021-09-04,1.3223536542056715,0.07717759340670588,7,2,5,-11.654542203717128
2021-09-05,1.3069859145447358,-0.011621505042965982,7,2,5,-2.846067818334265
2021-09-06,1.4114289782460965,0.07991139195845241,7,2,5,14.058930415630321
2021-09-07,1.807058353360757,0.28030413234556584,7,2,5,37.013070125111284
2021-09-08,1.617261738454733,-0.10503070614905224,7,2,5,31.98102954067273
2021-09-09,1.4883552941005016,-0.07970660610409255,7,2,5,26.157315211262855
2021-09-10,1.669224637935215,0.12152296199142629,7,2,5,40.11912697526315
2021-09-11,1.784598564098848,0.06911827416251634,7,2,5,47.679638498990506
2021-09-12,1.5109094417145146,-0.15336172957335953,7,2,5,40.47145783277959
2021-09-13,1.6681616001990969,0.10407781839402581,7,2,5,52.03361624626952
2021-09-14,1.5523084399120122,-0.06944960264836296,7,2,5,40.71024742094287
2021-09-15,1.5299877827801052,-0.014379009066762555,7,2,5,42.388135136398226
2021-09-16,1.5078405185343657,-0.014475451696415613,7,2,5,26.40955507387129
2021-09-17,1.4747504013816617,-0.02194536938486563,7,2,5,10.712430126233587
2021-09-18,1.470231287566905,-0.0030643245192696067,7,2,5,23.685106543173138
2021-09-19,1.4064794668553973,-0.04336176304410647,7,2,5,17.2732703468474
2021-09-20,1.4135530146728896,0.0050292577916599066,7,2,5,19.601577320801027
2021-09-21,1.3697387453479917,-0.030995844421892477,7,2,5,20.992919121621945
2021-09-22,1.4546668301365357,0.06200312656481632,7,2,5,28.81053325340266
2021-09-23,1.5322526370046738,0.053335791578375105,7,2,5,11.557048927998366
2021-09-24,1.6077155573931532,0.04924965933555074,7,2,5,25.751978261572205
2021-09-25,1.597631215969163,-0.006272466157099099,7,2,5,21.05106539861649
2021-09-26,1.5171714359244985,-0.05036192285204913,7,2,5,17.83972694865715
2021-09-27,1.5382336156523555,0.013882531155763954,7,2,5,18.153360111280268
2021-09-28,1.5009579944145446,-0.024232743881365884,7,2,5,17.028396446879718
2021-09-29,1.4655112662143457,-0.02361606942506408,7,2,5,16.150303498308116
2021-09-30,1.4966334256944687,0.021236383641400805,7,2,5,24.64159694879712
2021-10-01,1.4850851219804981,-0.007716187221070429,7,2,5,27.07764893462195
2021-10-02,1.5045045147802625,0.013076282640194274,8,4,4,27.489775493402156
2021-10-03,1.4394533013395565,-0.04323763259042586,8,4,4,24.709627118823356
2021-10-04,1.4791587199618799,0.027583679571524522,8,4,4,19.75023573530522
2021-10-05,1.5111862881392608,0.021652556784579887,8,4,4,23.077641918059808
2021-10-06,1.5904735243626098,0.052466884358099874,8,4,4,20.333191158024555
2021-10-07,1.513649802847354,-0.048302420844159116,8,4,4,-12.52746416094794
2021-10-08,1.6097342671205341,0.06347866203426585,8,4,4,4.323472657383869
2021-10-09,1.5870904088444182,-0.014066829997115539,8,4,4,10.887450268081569
2021-10-10,1.6529196371587804,0.04147793216285216,8,4,4,2.882947285224157
2021-10-11,1.7083393904310953,0.03352840151840441,8,4,4,-0.6760399791870362
2021-10-12,1.6687044435528822,-0.023200862252676473,8,4,4,12.340046752881268
2021-10-13,1.6186047923495301,-0.030023082515848926,8,4,4,-1.070043338106206
2021-10-14,1.6147166416245633,-0.0024021618762928576,8,4,4,5.634700739100804
2021-10-15,1.614008178809828,-0.0004387536465980269,8,4,4,7.028726281117257
2021-10-16,1.633480008705369,0.01206426965562195,8,4,4,9.682698416321013
2021-10-17,1.6071086535951566,-0.016144277842196072,8,4,4,10.262807570587968
2021-10-18,1.6153229370774207,0.005111218500310173,8,4,4,11.080361872545948
2021-10-19,1.5933520278804034,-0.013601558358831221,8,4,4,14.056382341073473
2021-10-20,1.6137339304623026,0.01279183898175525,8,4,4,14.832640460083008
2021-10-21,1.539723419724344,-0.04586289557458585,8,4,4,13.34593534481367
2021-10-22,1.4602262311978875,-0.051630823762288856,8,4,4,1.9825403121031517
2021-10-23,1.4791015742750229,0.01292631420656722,8,4,4,-2.058407425077637
2021-10-24,1.503239462085105,0.016319290189325507,8,4,4,-5.35144433970016
2021-10-25,1.5153892275262428,0.00808238856654623,8,4,4,-3.9159588673356267
2021-10-26,1.6249436413811116,0.07229457083689854,8,4,4,8.34969050155914
2021-10-27,1.7189091587076895,0.057826939306468664,8,4,4,12.744131316629609
2021-10-28,1.6069746307758737,-0.0651195133639118,8,4,4,8.65545436837502
2021-10-29,1.5958136933455043,-0.006945310284693614,8,4,4,10.322530282412066
2021-10-30,1.6243518924074734,0.017883164670771032,8,4,4,9.987208385349089
2021-10-31,1.5696217098246878,-0.033693550540744716,8,4,4,7.38947205338166
2021-11-01,1.5820381367664047,0.007910458210407686,8,4,4,6.872889610403002
2021-11-02,1.5734124133313319,-0.005452285399834443,7,2,5,10.651424329462143
2021-11-03,1.5707175966375517,-0.0017127211346162543,7,2,5,7.721784258848066
2021-11-04,1.5914676340572989,0.013210546226875489,7,2,5,6.877583203077625
2021-11-05,1.595955488299703,0.0028199469133801287,7,2,5,1.9128894586056508
2021-11-06,1.604383149409098,0.005280636691424151,7,2,5,7.271195212163978
2021-11-07,1.5893245632532829,-0.009385903960261332,7,2,5,-0.015261387288740581
2021-11-08,1.5469172899075483,-0.026682575935860868,7,2,5,-1.2768359811632735
2021-11-09,1.4964328072419883,-0.03263554101756609,7,2,5,-8.688183299205098
2021-11-10,1.5343365409038117,0.02532939232445855,7,2,5,-9.508084218599686
2021-11-11,1.4716382363166411,-0.040863463077166755,7,2,5,-11.274344301048712
2021-11-12,1.4601685148310746,-0.007793845798865714,7,2,5,-9.05142062935039
2021-11-13,1.4738578073307171,0.009375145649696586,7,2,5,-7.873689876751447
2021-11-14,1.4795855783696874,0.0038862439853298188,7,2,5,-7.441190113558663
2021-11-15,1.5031868110218247,0.015951245400852618,7,2,5,-7.052492539035596
2021-11-16,1.58114790288681,0.05186387433241899,7,2,5,-0.25167732157408834
2021-11-17,1.6062782655705263,0.015893745700724313,7,2,5,0.8265753984673253
2021-11-18,1.6005611676632925,-0.0035592201113443626,7,2,5,1.8308092232160111
2021-11-19,1.5683278532524596,-0.020138758244329535,7,2,5,-1.4622504993924674
2021-11-20,1.5259406578166863,-0.02702699907284629,7,2,5,0.42133915078148876
2021-11-21,1.454474349588731,-0.046834264400693985,7,2,5,0.9009950869409762
2021-11-22,1.5026111634283883,0.03309567738562633,7,2,5,2.917931404846887
2021-11-23,1.4656844208239281,-0.024575048757262866,7,2,5,-1.1715024898119504
2021-11-24,1.4108970688728792,-0.03738004659983388,7,2,5,-5.7177460064499614
2021-11-25,1.356996711627871,-0.038202898307859966,7,2,5,-16.76749292092581
2021-11-26,1.437407468305412,0.05925641233211193,7,2,5,-16.624545618361488
2021-11-27,1.4308957999085445,-0.004530147881132323,7,2,5,-10.56560907008354
2021-11-28,1.4282859127154097,-0.0018239533537673432,7,2,5,-10.053473376990912
2021-11-29,1.411756451803392,-0.011572935618046131,7,2,5,-12.999083405872627
2021-11-30,1.442487088970667,0.02176766192782001,7,2,5,-7.452962159016155
2021-12-01,1.406506333055459,-0.02494355491312108,7,2,5,-10.73836347136903
2021-12-02,1.4112587214298469,0.003378860274353637,8,3,5,-9.855248903950223
2021-12-03,1.4337998425571055,0.01597235204642032,8,3,5,-8.086741585846566
2021-12-04,1.4159564061395506,-0.012444858681063943,8,3,5,-10.652282076640509
2021-12-05,1.3735238818100453,-0.029967394579041386,8,3,5,-13.931016225882662
2021-12-06,1.3915989379591547,0.013159622769201434,8,3,5,-13.143117618104933
2021-12-07,1.4006641315913875,0.00651422862216839,8,3,5,-11.55310435986196
2021-12-08,1.42357547340938,0.016357484496987457,8,3,5,-7.249098316577126
2021-12-09,1.4096620051430908,-0.00977360774063291,8,3,5,-4.9629049888838095
2021-12-10,1.4092894253355395,-0.00026430435536461093,8,3,5,-7.522274656866125
2021-12-11,1.4178098861122566,0.006045926850468189,8,3,5,-2.831335664102631
2021-12-12,1.4014620982245878,-0.011530310267828523,8,3,5,-3.204982110998912
