date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2024-08-22,38618.3377534934,1,3,0.5,0.5,2.7755575615628914e-17,1.0,0.021380999999999997,-0.0012482037525317624,-0.0012489834076821983
2024-08-23,38524.735471329026,3,3,0.5,0.5,0.0,1.0,0.023093556640154844,-0.002423778122244591,-0.00242672022740574
2024-08-24,38577.68859916358,2,2,0.49999999999999994,0.49999999999999994,0.0,0.9999999999999999,0.04870691670299916,0.0013745228146722077,0.0013735790229313777
2024-08-25,38378.597601830195,2,2,0.5,0.5,2.7755575615628914e-17,1.0,0.023265931266318533,-0.005160780870051895,-0.005174143694545798
2024-08-26,37836.08488625778,4,1,0.5,0.5,1.3877787807814457e-17,1.0,0.02862513961000466,-0.014135813955498677,-0.01423667621522606
2024-08-27,37734.560605931,2,1,0.5,0.5,0.0,1.0,0.042500813219303865,-0.0026832660047141355,-0.0026868724156914278
2024-08-28,37701.23298154204,2,3,0.49999999999999994,0.5,-2.7755575615628914e-17,1.0,0.050638566937330765,-0.0008832122026545264,-0.000883602464358172
2024-08-29,37374.03688259706,3,3,0.5,0.5,-5.551115123125783e-17,1.0,0.04589554556225846,-0.008678657780374688,-0.008716536648536274
2024-08-30,37285.42933924389,4,2,0.5,0.49999999999999994,9.71445146547012e-17,1.0,0.03637879476115149,-0.002370831484741931,-0.0023736463556429345
2024-08-31,37296.571596217436,2,3,0.5,0.5,-5.551115123125783e-17,1.0,0.03572915847657492,0.0002988367620007093,0.00029879211918926846
2024-09-01,37762.75496072093,3,2,0.5,0.5,0.0,1.0,0.044745474062113585,0.012499362395839375,0.012421890265854552
2024-09-02,35870.18315557034,2,0,0.5,0.0,0.5,0.5,0.022177136950875448,-0.05011741879317744,-0.05141690075616343
2024-09-03,36251.39777427257,3,1,0.5,0.5,-2.7755575615628914e-17,1.0,0.043573607335348034,0.01062761840520543,0.010571542223013786
2024-09-04,36248.668363987425,3,2,0.5,0.5,0.0,1.0,0.03309532310745519,-7.529117365734361e-05,-7.529400818003621e-05
2024-09-05,36751.93994481796,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.047628385466463266,0.013883863974725408,0.01378836604033153
2024-09-06,36993.74897905583,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.03374460728198761,0.0065794903507390146,0.006557939979427504
