date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,long_positions,short_positions
2025-05-26,9310.192932786154,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-05-27,9225.568230390889,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-05-28,9118.924267755547,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-05-29,8897.73941660023,3,0,0.5000000000000001,0.0,0.5000000000000001,0.5000000000000001,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-05-30,8938.163648258767,3,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-05-31,8946.065720825158,3,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-01,9056.024610210818,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-02,9182.38617822387,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-03,9145.816338409802,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-04,9105.868890893662,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-05,8938.465898887198,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-06,8973.18727472418,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-07,9091.378117146702,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-08,9099.112632213853,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-09,9406.655793331282,3,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-10,9560.73817627999,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-11,9497.104705939573,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-12,9357.373562908284,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-13,9447.483065901377,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-14,9332.254655500092,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-15,9385.993173153736,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-16,9451.34143854658,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-17,9301.492095327278,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-18,9287.390828177096,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-19,9162.107213495407,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-20,8953.67818100368,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-21,8970.95964250134,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-06-22,9003.307645834164,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-06-23,9311.133114631035,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-06-24,9226.120351168327,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-06-25,9164.552262078048,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-06-26,9012.312972665655,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-06-27,9115.021472814684,2,0,0.4999999999999999,0.0,0.4999999999999999,0.4999999999999999,"HYPE/USDC, HYPE/USDC:USDC",None
2025-06-28,9262.812978500668,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-06-29,9500.145877629291,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-06-30,9475.63363168871,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-07-01,9150.363364628116,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-07-02,9514.465617408514,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-07-03,9557.774474094658,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-07-04,9407.017333688447,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-07-05,9425.755217710801,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-07-06,9509.21910316741,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-07-07,9353.558352723005,2,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,"HYPE/USDC, HYPE/USDC:USDC",None
2025-07-08,9386.854923235685,2,0,0.5000000000000001,0.0,0.5000000000000001,0.5000000000000001,"HYPE/USDC, HYPE/USDC:USDC",None
2025-07-09,9608.14831982953,2,0,0.5,0.0,0.5,0.5,"HYPE/USDC, HYPE/USDC:USDC",None
2025-07-10,9969.760650471026,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-07-11,10129.321944130652,3,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-07-12,10160.787954717895,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-07-13,10282.160662329647,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-07-14,10245.53101018182,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-07-15,10202.814891211889,3,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-07-16,10188.846407584659,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC",None
2025-07-17,10136.59739571385,4,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-18,10042.559848845463,4,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-19,10049.681834199606,4,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-20,10105.184601760904,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-21,10072.089736228147,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-22,10175.160216648099,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-23,9955.8794546965,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-24,9906.40510615267,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-25,9967.646646109431,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
