date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,long_positions,short_positions,daily_return,log_return
2025-09-22,51895.38903804972,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,-0.01832073459016903,-0.018490637613131498
2025-09-23,51347.60915560831,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,-0.010555463454369196,-0.010611567510861826
2025-09-24,51776.900713156254,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.008360497491654906,0.0083257421129743
2025-09-25,50510.87711737438,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,-0.024451513673938052,-0.024755416078255765
2025-09-26,51261.47311861029,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.014860086462005206,0.014750757141897082
2025-09-27,51467.914533058734,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.004027223602622199,0.004019136043982617
2025-09-28,52065.208431387364,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.011605170012182642,0.011538346528354154
2025-09-29,52190.00238793031,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.0023968780746821405,0.00239401014423525
2025-09-30,51852.70802926838,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,-0.006462815543766598,-0.00648378995414498
2025-10-01,52959.978742866006,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.02135415401974039,0.021129348792010835
2025-10-02,53847.97326398854,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.01676727487814844,0.01662825595164142
2025-10-03,53844.024892921974,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,-7.332441366381115e-05,-7.332710203004678e-05
2025-10-04,53616.345224307865,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,-0.004228503888163759,-0.004237469293155676
2025-10-05,53736.34917058001,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.0022381970604319346,0.002235696028564163
2025-10-06,54135.450893691705,9,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.007427034572906832,0.0073995899559403866
2025-10-07,54130.51933864829,9,0,0.49999999999999994,0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,-9.109659127237713e-05,-9.110074081885612e-05
