date,portfolio_value,long_exposure,short_exposure,net_exposure,gross_exposure
2023-01-03,7591.008446708943,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-04,7571.884333501727,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-05,7636.284502301959,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-06,7661.039591990679,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-07,7733.715606007561,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-08,7670.220520294427,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-09,7703.181474410294,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-10,7655.878899404919,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-11,7557.1223219277845,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-12,7598.347478714236,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-13,7650.923198982898,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-14,7705.443081979211,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-15,7688.783573997971,0.5,0.5,0.0,1.0
2023-01-16,7800.380542765894,0.5,0.5,0.0,1.0
2023-01-17,7864.539529150053,0.5,0.5,0.0,1.0
2023-01-18,7784.752601319043,0.5,0.5,0.0,1.0
2023-01-19,7803.219785657477,0.5,0.5,0.0,1.0
2023-01-20,7891.377679456491,0.5,0.5,0.0,1.0
2023-01-21,7924.540656013674,0.5,0.5,0.0,1.0
2023-01-22,7882.992796502218,0.5,0.5,0.0,1.0
2023-01-23,7919.699694253172,0.5,0.5,0.0,1.0
2023-01-24,7959.8223638023255,0.5,0.5,0.0,1.0
2023-01-25,7939.856960200665,0.5,0.5,0.0,1.0
2023-01-26,7994.007309747737,0.5,0.5,0.0,1.0
2023-01-27,7980.581291585016,0.5,0.5,0.0,1.0
2023-01-28,7967.501920038254,0.5,0.5,0.0,1.0
2023-01-29,7802.22337817704,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-30,7853.487181514309,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-01-31,7938.590481239025,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-02-01,7965.874064818987,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
