date,portfolio_value,method
2021-03-01,4139.969401787719,Top/Bottom Deciles (10%)
2021-03-02,4207.508355220509,Top/Bottom Deciles (10%)
2021-03-03,4245.623926221404,Top/Bottom Deciles (10%)
2021-03-04,4217.546343771279,Top/Bottom Deciles (10%)
2021-03-05,4245.838443676076,Top/Bottom Deciles (10%)
2021-03-06,4272.007187795541,Top/Bottom Deciles (10%)
2021-03-07,4292.339128325537,Top/Bottom Deciles (10%)
2021-03-08,4321.561954444028,Top/Bottom Deciles (10%)
2021-03-09,4333.952832483463,Top/Bottom Deciles (10%)
2021-03-10,4471.6916392964795,Top/Bottom Deciles (10%)
2021-03-11,4535.372024365204,Top/Bottom Deciles (10%)
2021-03-12,4606.053990677844,Top/Bottom Deciles (10%)
2021-03-13,4683.680920016217,Top/Bottom Deciles (10%)
2021-03-14,4663.564845740557,Top/Bottom Deciles (10%)
2021-03-15,4564.675632731832,Top/Bottom Deciles (10%)
2021-03-16,4533.912415010547,Top/Bottom Deciles (10%)
2021-03-17,4559.998030377338,Top/Bottom Deciles (10%)
2021-03-18,4554.549683999355,Top/Bottom Deciles (10%)
2021-03-19,4568.539095563298,Top/Bottom Deciles (10%)
2021-03-20,4455.072557506696,Top/Bottom Deciles (10%)
2021-03-21,4482.668762934724,Top/Bottom Deciles (10%)
2021-03-22,4448.138319209027,Top/Bottom Deciles (10%)
2021-03-23,4441.672636807499,Top/Bottom Deciles (10%)
2021-03-24,4508.348135322433,Top/Bottom Deciles (10%)
2021-03-25,4484.309197227715,Top/Bottom Deciles (10%)
2021-03-26,4503.213578051392,Top/Bottom Deciles (10%)
2021-03-27,4522.590129283774,Top/Bottom Deciles (10%)
2021-03-28,4421.608240998602,Top/Bottom Deciles (10%)
2021-03-29,4466.820621747328,Top/Bottom Deciles (10%)
2021-03-30,4523.799883775685,Top/Bottom Deciles (10%)
2021-03-31,4530.5341309607875,Top/Bottom Deciles (10%)
2021-04-01,4458.227211146612,Top/Bottom Deciles (10%)
2021-04-02,4432.135386391681,Top/Bottom Deciles (10%)
2021-04-03,4457.766331269673,Top/Bottom Deciles (10%)
2021-04-04,4432.965101275103,Top/Bottom Deciles (10%)
2021-04-05,4058.644591915106,Top/Bottom Deciles (10%)
2021-04-06,4045.2526455604398,Top/Bottom Deciles (10%)
2021-04-07,4129.73931551592,Top/Bottom Deciles (10%)
2021-04-08,4154.759974104439,Top/Bottom Deciles (10%)
2021-04-09,4213.3833709690925,Top/Bottom Deciles (10%)
2021-04-10,3986.330965123936,Top/Bottom Deciles (10%)
2021-04-11,3932.2339358852078,Top/Bottom Deciles (10%)
2021-04-12,3882.648753193487,Top/Bottom Deciles (10%)
2021-04-13,3831.2160515576375,Top/Bottom Deciles (10%)
2021-04-14,3976.354758682027,Top/Bottom Deciles (10%)
