symbol,category,signal,entry_date,exit_date,entry_price,exit_price,entry_z_score,exit_z_score,position_size,return_pct,pnl,hold_days,exit_reason,market_cap
ALGO,Dino Coins,SHORT,2023-12-08,2023-12-11,0.1844,0.2026,1.9847618038972927,0.1527749553183627,10000.0,-0.09869848156182215,-1016.9848156182215,3,mean_revert,1266736278.2437887
ALGO,Dino Coins,SHORT,2023-12-12,2023-12-14,0.1979,0.2162,2.1878667141997368,-0.2801658415867705,10000.0,-0.09247094492167762,-954.7094492167762,2,mean_revert,1266736278.2437887
ALGO,Dino Coins,SHORT,2023-12-22,2023-12-27,0.24,0.2289,2.38819480070872,0.3359767933703048,10000.0,0.04625000000000001,432.5000000000001,5,mean_revert,1266736278.2437887
ALGO,Dino Coins,SHORT,2024-02-17,2024-02-18,0.1904,0.1964,1.634931331352834,-0.3397384810781577,10000.0,-0.031512605042016695,-345.12605042016696,1,mean_revert,1430115479.6308138
ALGO,Dino Coins,SHORT,2024-02-25,2024-02-27,0.2078,0.2082,1.9184091186388696,0.3350086320697755,10000.0,-0.0019249278152069227,-49.24927815206922,2,mean_revert,1430115479.6308138
ALGO,Dino Coins,SHORT,2024-03-02,2024-03-03,0.2484,0.2514,1.5028284703331436,-0.0746848444456173,10000.0,-0.012077294685990392,-150.77294685990393,1,mean_revert,1430115479.6308138
ALGO,Dino Coins,SHORT,2024-03-07,2024-03-11,0.2802,0.2921,2.343351500525913,-0.2865035057490007,10000.0,-0.04246966452533907,-454.69664525339067,4,mean_revert,1430115479.6308138
ALGO,Dino Coins,SHORT,2024-03-13,2024-03-14,0.3189,0.3116,4.269008805689179,-0.3839180479111877,10000.0,0.022891188460332446,198.91188460332447,1,mean_revert,1430115479.6308138
XLM,Dino Coins,SHORT,2024-03-30,2024-03-31,0.139183,0.141109,1.506942423409926,0.2439817723619266,10000.0,-0.013837896869589139,-168.3789686958914,1,mean_revert,3259659946.8074923
XLM,Dino Coins,SHORT,2024-06-14,2024-06-16,0.096769,0.099082,1.5013282940221415,0.3216550263315109,10000.0,-0.023902282755841275,-269.02282755841276,2,mean_revert,3259659946.8074923
XLM,Dino Coins,SHORT,2024-06-18,2024-06-21,0.091328,0.092022,1.8940679100912488,0.4061299881132623,10000.0,-0.007598983882270538,-105.98983882270538,3,mean_revert,3259659946.8074923
XLM,Dino Coins,SHORT,2024-07-05,2024-07-07,0.085493,0.083968,2.346385067908519,-0.1417583419861717,10000.0,0.01783771770788245,148.3771770788245,2,mean_revert,3259659946.8074923
ALGO,Dino Coins,SHORT,2024-07-09,2024-07-11,0.1396,0.1373,1.9340642575327192,0.2943023963299641,10000.0,0.016475644699140424,134.75644699140423,2,mean_revert,1430115479.6308138
XLM,Dino Coins,SHORT,2024-07-14,2024-07-21,0.104506,0.105434,3.41536597598812,-0.1438523603105972,10000.0,-0.008879872925956489,-118.7987292595649,7,mean_revert,3259659946.8074923
XLM,Dino Coins,SHORT,2024-07-25,2024-07-26,0.102198,0.103136,1.6986697187353008,0.2829259302837986,10000.0,-0.009178261805514953,-121.78261805514953,1,mean_revert,3259659946.8074923
XLM,Dino Coins,SHORT,2024-07-31,2024-08-01,0.100471,0.099214,1.587528250902102,-0.4069915993227261,10000.0,0.012511072846891236,95.11072846891236,1,mean_revert,3259659946.8074923
XLM,Dino Coins,SHORT,2024-08-08,2024-08-11,0.103103,0.097844,3.813532505461557,0.0957294827724824,10000.0,0.0510072451820025,480.07245182002504,3,mean_revert,3259659946.8074923
XLM,Dino Coins,SHORT,2024-10-17,2024-10-20,0.094912,0.097195,2.6972117228186203,0.0624097560166298,10000.0,-0.02405386041807156,-270.5386041807156,3,mean_revert,3259659946.8074923
XLM,Dino Coins,SHORT,2024-10-26,2024-10-27,0.09414,0.094149,1.5016877753330873,0.1771755914844688,10000.0,-9.560229445493285e-05,-30.95602294454933,1,mean_revert,3259659946.8074923
XLM,Dino Coins,SHORT,2024-11-08,2024-11-12,0.101277,0.134546,2.1798063191979105,-1.5552407258543337,10000.0,-0.32849511735142234,-3314.9511735142232,4,stop_loss,3259659946.8074923
