date,symbol,signal,beta,beta_rank,percentile,weight,volatility,market_cap,volume_30d_avg
2024-05-28,CRO/USD,LONG,0.8756667768928237,1.0,20.0,0.5,0.48840616195255804,2193472219.621349,8575676.976666667
2024-05-28,BONK/USD,SHORT,1.9387206437430156,5.0,100.0,-0.25,1.2906804428331717,651393425.618817,2234036859041.1
2024-05-28,GRT/USD,SHORT,1.3607033853092374,4.0,80.0,-0.25,1.0344752298373863,1527332090.1885202,16643408.342
2024-06-27,XLM/USD,LONG,0.7692546910788707,1.0,20.0,0.5,0.4024361179911034,3259659946.8074923,53647585.41360226
2024-06-27,BONK/USD,SHORT,1.7685034636558012,5.0,100.0,-0.25,1.1805009353642124,651393425.618817,1991747672359.9
2024-06-27,GRT/USD,SHORT,1.5466354286403383,4.0,80.0,-0.25,0.76464276001119,1527332090.1885202,15995670.018333334
2024-08-26,XLM/USD,LONG,0.5582978927357888,1.0,20.0,0.5,0.5763259541833682,3259659946.8074923,71641232.48208094
2024-08-26,BONK/USD,SHORT,1.6553567676024667,5.0,100.0,-0.25,1.1239589440895414,651393425.618817,1457213030951.8
2024-08-26,GRT/USD,SHORT,1.3944059168121097,4.0,80.0,-0.25,1.0066513352653093,1527332090.1885202,11785596.906
2024-10-25,XLM/USD,LONG,0.5041161889800646,1.0,20.0,0.5,0.38292976998216066,3259659946.8074923,56065226.29895936
2024-10-25,BONK/USD,SHORT,1.4477672382113682,5.0,100.0,-0.25,1.2009481296721696,651393425.618817,2086121002681.2666
2024-10-25,GRT/USD,SHORT,1.4241638416681168,4.0,80.0,-0.25,0.7886275749711298,1527332090.1885202,13221358.189333333
2024-11-24,XLM/USD,LONG,0.42269652148077635,1.0,14.285714285714285,0.5,2.3295577806571717,3259659946.8074923,271775355.4024898
2024-11-24,BONK/USD,SHORT,1.4269457122137799,6.0,85.71428571428571,-0.25,1.7622462596167714,651393425.618817,3785109772534.8667
2024-11-24,CRO/USD,SHORT,1.99102504255934,7.0,100.0,-0.25,2.27968344317175,2193472219.621349,54954715.71
2024-12-24,OXT/USD,LONG,1.05195056819436,2.0,20.0,0.25,1.2383077140473528,263691628.991675,13461098.833333334
2024-12-24,XLM/USD,LONG,0.8142165160865569,1.0,10.0,0.25,1.2143102425612697,3259659946.8074923,313613154.7831946
2024-12-24,BONK/USD,SHORT,1.615673187932304,9.0,90.0,-0.16666666666666666,1.3133674696994073,651393425.618817,1665557620346.2
2024-12-24,CRO/USD,SHORT,2.1678831799317493,10.0,100.0,-0.16666666666666666,1.0866030584770165,2193472219.621349,36979527.32333334
2024-12-24,GRT/USD,SHORT,1.385749882428904,8.0,80.0,-0.16666666666666666,1.1726568609776122,1527332090.1885202,40665825.784
2025-01-23,XLM/USD,LONG,1.0062712711654067,1.0,20.0,0.5,1.2930321974402736,13373293388.155737,177704711.25662926
2025-01-23,BONK/USD,SHORT,1.6686748518322931,4.0,80.0,-0.25,1.2007656421896276,2620322044.1454067,1334614349324.9333
2025-01-23,CRO/USD,SHORT,2.140966632763647,5.0,100.0,-0.25,0.7229408579251849,4226833510.875261,17951246.673333332
2025-02-22,CRO/USD,LONG,1.4158573611788154,1.0,16.666666666666664,0.5,0.6689725703248299,4226833510.875261,14833805.106666666
2025-02-22,ALGO/USD,SHORT,1.9088545190280841,5.0,83.33333333333334,-0.25,0.8832498852860732,3384098842.854815,38085549.343333334
2025-02-22,BONK/USD,SHORT,1.9561210588743263,6.0,100.0,-0.25,1.0515583228591296,2620322044.1454067,947140889750.4667
2025-03-24,CRO/USD,LONG,1.1505445622713668,1.0,8.333333333333332,0.25,1.1175693799105852,4226833510.875261,29739861.07333333
2025-03-24,PNUT/USD,LONG,1.326443125289097,2.0,16.666666666666664,0.25,2.381488822682732,756472715.6159503,30555616.65766667
2025-03-24,BONK/USD,SHORT,1.8309661382025582,10.0,83.33333333333334,-0.16666666666666666,1.4945148727264215,2620322044.1454067,876801748827.8667
2025-03-24,GIGA/USD,SHORT,2.6951880564376034,12.0,100.0,-0.16666666666666666,2.638118715407636,769429559.7931653,201855985.16
2025-03-24,MOG/USD,SHORT,2.084670207133861,11.0,91.66666666666666,-0.16666666666666666,1.726589031592176,1135029920.0852993,1890303024074.7666
2025-04-23,CRO/USD,LONG,1.2386722540202555,2.0,11.76470588235294,0.16666666666666666,0.9865364836844197,4226833510.875261,30910982.936666667
2025-04-23,EOS/USD,LONG,1.1863848075072303,1.0,5.88235294117647,0.16666666666666666,1.3904207362039656,1386910065.3969998,6721332.0233333325
2025-04-23,XLM/USD,LONG,1.3092640027133582,3.0,17.647058823529413,0.16666666666666666,0.7413979549432412,13373293388.155737,65311342.2566878
2025-04-23,BONK/USD,SHORT,2.0456357409500545,14.0,82.35294117647058,-0.125,1.5722012800837675,2620322044.1454067,976463818275.7667
2025-04-23,GIGA/USD,SHORT,3.0025302169059938,17.0,100.0,-0.125,2.1223215327149125,769429559.7931653,157862507.1533333
