date,portfolio_value,num_positions,num_longs,num_shorts,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return
2025-01-29,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-30,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-31,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-01,15915.743831438669,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-02,15515.622909093907,1,0,1,0.0,-7757.811454546953,-7757.811454546953,7757.811454546953,-0.025139944861037322
2025-02-03,16071.749473140873,1,0,1,0.0,-8035.874736570437,-8035.874736570437,8035.874736570437,0.03584300593700385
2025-02-04,16419.342691224698,1,0,1,0.0,-8209.671345612349,-8209.671345612349,8209.671345612349,0.021627590615739933
2025-02-05,16900.937714574608,1,0,1,0.0,-8450.468857287304,-8450.468857287304,8450.468857287304,0.029330956324292945
2025-02-06,17069.332347544787,2,0,2,0.0,-12801.999260658591,-12801.999260658591,12801.999260658591,0.009963626623211708
2025-02-07,16989.93781392568,1,0,1,0.0,-4247.48445348142,-4247.48445348142,4247.48445348142,-0.004651296957758677
2025-02-08,16915.560471928402,1,0,1,0.0,-4228.8901179821005,-4228.8901179821005,4228.8901179821005,-0.004377728912951961
2025-02-09,16691.790354775567,1,0,1,0.0,-4172.947588693892,-4172.947588693892,4172.947588693892,-0.013228655209159945
2025-02-10,16742.882177027623,1,0,1,0.0,-4185.720544256906,-4185.720544256906,4185.720544256906,0.003060895276427722
2025-02-11,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-12,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-13,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-14,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-15,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-16,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-17,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-18,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-19,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-20,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-21,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-22,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-23,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-24,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-25,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-26,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-27,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-28,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-01,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-02,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-03,16742.882177027623,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-04,16543.597372619482,2,0,2,0.0,-8271.798686309741,-8271.798686309741,8271.798686309741,-0.01190265823417025
2025-03-05,16821.83448671583,2,0,2,0.0,-8410.917243357915,-8410.917243357915,8410.917243357915,0.016818416685892235
2025-03-06,17041.235122518734,2,0,2,0.0,-8520.617561259367,-8520.617561259367,8520.617561259367,0.013042610541446287
2025-03-07,17373.4811256248,2,0,2,0.0,-8686.7405628124,-8686.7405628124,8686.7405628124,0.01949659169170359
2025-03-08,18892.459227555726,2,0,2,0.0,-9446.229613777863,-9446.229613777863,9446.229613777863,0.08743084307327043
