date,portfolio_value,daily_return,long_return,short_return,turnover,num_long,num_short,long_exposure,short_exposure,net_exposure,gross_exposure,cumulative,running_max,drawdown
2024-01-16,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-17,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-18,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-19,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-20,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-21,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-22,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-23,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-24,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-25,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-26,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-27,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-28,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-29,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-30,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-01-31,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-01,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-02,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-03,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-04,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-05,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-06,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-07,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-08,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-09,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-10,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-11,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-12,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-13,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-14,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-15,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-16,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
