date,symbol,signal,adf_stat,adf_pvalue,is_stationary,adf_rank,percentile,weight,volatility,market_cap,volume_30d_avg
2025-09-16,W/USD,LONG,-3.2139549818639894,0.08165669080128096,False,3.0,17.647058823529413,0.16666666666666666,1.0414530101420325,868432960.5077666,12460087.441333333
2025-09-23,ALGO/USD,LONG,-3.2959740826073234,0.06691696043258881,False,3.0,17.647058823529413,0.16666666666666666,0.643397647262809,3384098842.854815,13189332.066666666
2025-09-23,FARTCOIN/USD,LONG,-3.519370401213664,0.03736334066423809,True,1.0,5.88235294117647,0.16666666666666666,1.3660427404437476,1299695658.524675,25512139.032333333
2025-09-23,PYTH/USD,LONG,-3.4220811700752862,0.048506889964225905,True,2.0,11.76470588235294,0.16666666666666666,2.7029973400566547,1417261137.014019,37495529.70666667
2025-09-30,ALGO/USD,LONG,-3.367956177505263,0.05581871913838573,False,1.0,5.555555555555555,0.16666666666666666,0.5165909200405491,3384098842.854815,11221308.110000001
2025-09-30,FARTCOIN/USD,LONG,-3.2135212708406824,0.0817409339975193,False,2.0,11.11111111111111,0.16666666666666666,1.2485921459649532,1299695658.524675,27387826.992666665
2025-09-30,PYTH/USD,LONG,-3.072042506896833,0.11303921585816396,False,3.0,16.666666666666664,0.16666666666666666,0.9828935787257131,1417261137.014019,16354714.206666669
2025-10-07,ALGO/USD,LONG,-3.9165830291949173,0.01151069235991702,True,1.0,5.263157894736842,0.16666666666666666,0.5976367988151742,3384098842.854815,11648961.323333332
2025-10-07,BIO/USD,LONG,-3.3506272075648975,0.058342409067971404,False,3.0,15.789473684210526,0.16666666666666666,1.1264697593883835,963692599.7358963,10615259.413333332
2025-10-07,RSR/USD,LONG,-3.875209469097935,0.013118918108103735,True,2.0,10.526315789473683,0.16666666666666666,1.0782731357588002,900348878.381598,64212720.03333333
2025-10-14,ALGO/USD,LONG,-3.6463140236351657,0.026145056278577296,True,2.0,11.76470588235294,0.16666666666666666,1.0384390599416309,3384098842.854815,14240030.433333335
2025-10-14,MOG/USD,LONG,-3.739313890234761,0.01989538594671902,True,1.0,5.88235294117647,0.16666666666666666,1.8279672661274355,1135029920.0852993,2250393384639.6333
2025-10-14,W/USD,LONG,-3.4057799323487092,0.05062046661277799,False,3.0,17.647058823529413,0.16666666666666666,1.8960712751445647,868432960.5077666,27183399.087666668
2025-10-21,ALGO/USD,LONG,-2.9936009672261923,0.13387880229040178,False,2.0,11.76470588235294,0.16666666666666666,1.0564018526948589,3384098842.854815,15586071.126666667
2025-10-21,FLOKI/USD,LONG,-3.8102955635626725,0.016046705767076633,True,1.0,5.88235294117647,0.16666666666666666,1.6035092747590907,1911027839.4132748,15356038201.766666
2025-10-21,RSR/USD,LONG,-2.9039876106527642,0.1609291918155531,False,3.0,17.647058823529413,0.16666666666666666,1.8438024137696523,900348878.381598,126987352.83333333
