date,portfolio_value,cash,num_positions,num_longs,num_shorts
2024-08-03,6661.384598650823,0,1,1,0
2024-08-04,6277.998993164885,0,1,1,0
2024-08-05,6264.848366276263,0,1,1,0
2024-08-06,6605.868031728965,0,1,1,0
2024-08-07,7279.987098712812,0,1,1,0
2024-08-08,7393.934291923893,0,1,1,0
2024-08-09,7156.102215864306,0,1,1,0
2024-08-10,7256.898782186764,0,1,1,0
2024-08-11,7000.984594155321,0,1,1,0
2024-08-12,7073.686639397539,0,1,1,0
2024-08-13,7110.822216463707,0,1,1,0
2024-08-14,6908.706047522086,0,1,1,0
2024-08-15,6837.87198905382,0,1,1,0
2024-08-16,6778.843606996932,0,1,1,0
2024-08-17,6839.739975827772,0,1,1,0
2024-08-18,6678.121760145434,0,1,1,0
2024-08-19,6888.457070892444,0,1,1,0
2024-08-20,6975.28109614574,0,1,1,0
2024-08-21,7054.035418535563,0,1,1,0
2024-08-22,7082.578256441551,0,1,1,0
2024-08-23,7304.64452412898,0,1,1,0
2024-08-24,7356.499836973891,0,1,1,0
2024-08-25,7232.540234654428,0,1,1,0
2024-08-26,6946.364660884961,0,1,1,0
2024-08-27,6693.88756851759,0,1,1,0
2024-08-28,6623.427107404114,0,1,1,0
2024-08-29,6648.458130175074,0,1,1,0
2024-08-30,6653.464334729266,0,1,1,0
2024-08-31,6604.000044955013,0,1,1,0
2024-09-01,6416.005856024469,0,1,1,0
2024-09-02,6591.073576479264,0,1,1,0
2024-09-03,6524.797405739442,0,1,1,0
2024-09-04,6535.855887441239,0,1,1,0
2024-09-05,6431.323347570877,0,1,1,0
2024-09-06,6267.612986701712,0,1,1,0
2024-09-07,6307.88678154812,0,1,1,0
2024-09-08,6414.511466605308,0,1,1,0
2024-09-09,6650.550275361899,0,1,1,0
2024-09-10,6708.831462709207,0,1,1,0
2024-09-11,6612.144467289444,0,1,1,0
2024-09-12,6782.579580544837,0,1,1,0
2024-09-13,6893.164397562803,0,1,1,0
2024-09-14,6946.962416652625,0,1,1,0
2024-09-15,6796.029085317292,0,1,1,0
2024-09-16,6786.315554092741,0,1,1,0
2024-09-17,6757.10024094813,0,1,1,0
2024-09-18,6862.828292353821,0,1,1,0
2024-09-19,6862.828292353821,0,1,1,0
2024-09-20,6874.9328466490315,0,1,1,0
2024-09-21,7013.612184747239,0,1,1,0
2024-09-22,6866.190668546935,0,1,1,0
2024-09-23,6885.468292054121,0,1,1,0
2024-09-24,6924.770733778074,0,1,1,0
2024-09-25,6859.465916160706,0,1,1,0
2024-09-26,7014.73297681161,0,1,1,0
