date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,avg_divergence_long,avg_divergence_short,daily_return,cumulative_max,drawdown
2024-02-23,10134.341892545555,1,1,0.5,0.5,0.0,1.0,0.6971889029203284,-0.029020493811244573,-0.0021747356543474483,14490.821841210956,-0.3006371892776885
2024-02-24,10215.56255379458,1,1,0.5,0.5,0.0,1.0,0.8004799327531433,-0.04472289460324511,0.008014399169695263,14490.821841210956,-0.2950322165481199
2024-02-25,9876.324171566403,1,1,0.5,0.5,0.0,1.0,-0.5431503751408986,-0.012065045658958183,-0.033207998134392236,14490.821841210956,-0.31844278538579657
2024-02-26,9987.081519376128,1,1,0.5,0.5,0.0,1.0,0.698519772637718,-0.1955914332864369,0.011214430175205514,14490.821841210956,-0.310799509592098
2024-02-27,9841.733085129887,1,1,0.5,0.5,0.0,1.0,1.5828468606792496,-0.9616972644788219,-0.014553644522100728,14490.821841210956,-0.3208298885339521
2024-02-28,9964.788048305689,1,1,0.5,0.5,0.0,1.0,1.3937809075671288,0.8904203305980912,0.012503383510951815,14490.821841210956,-0.3123379641611162
2024-02-29,9977.45986353211,1,1,0.5,0.5,0.0,1.0,1.257118824252827,1.0088259073256114,0.0012716592831671925,14490.821841210956,-0.31146349234956
2024-03-01,9752.100289620796,1,1,0.5,0.5,0.0,1.0,1.6544317277477496,1.6054300339734688,-0.022586868500970914,14490.821841210956,-0.32701537590597823
2024-03-02,9851.392725015457,1,1,0.5,0.5,0.0,1.0,1.5008932554005145,1.52707090639712,0.010181646255252197,14490.821841210956,-0.320163284528229
2024-03-03,9929.45665511604,1,1,0.5,0.5,0.0,1.0,1.3521361379932266,1.5138267450080332,0.007924151668662782,14490.821841210956,-0.3147761552849052
2024-03-04,9010.508231696787,1,1,0.5,0.5,0.0,1.0,1.1633135510419528,1.3652085136530525,-0.09254770480777263,14490.821841210956,-0.37819204939284484
